iter	Passed	Remaining
272	637	1698
273	638	1693
274	640	1687
275	641	1682
276	643	1680
277	645	1676
278	646	1671
279	647	1665
280	648	1660
281	649	1654
282	651	1649
283	652	1644
284	653	1639
285	654	1634
286	655	1629
287	657	1626
288	659	1622
289	661	1618
290	662	1613
291	663	1608
292	664	1603
293	665	1599
294	667	1594
295	668	1588
296	669	1583
297	670	1579
298	671	1574
299	672	1570
300	674	1565
301	675	1561
302	676	1557
303	678	1553
304	679	1548
305	680	1544
306	681	1539
307	683	1534
308	684	1530
309	685	1526
310	686	1521
311	688	1518
312	689	1513
313	691	1509
314	692	1506
315	693	1501
316	695	1497
317	696	1493
318	697	1488
319	698	1484
320	699	1480
321	700	1475
322	702	1472
323	704	1469
324	705	1465
325	707	1461
326	708	1457
327	709	1453
328	710	1449
329	712	1445
330	713	1441
331	714	1437
332	715	1433
333	717	1430
334	718	1426
335	720	1423
336	721	1419
337	722	1415
338	723	1411
339	725	1407
340	726	1403
341	727	1399
342	728	1395
343	730	1392
344	731	1388
345	732	1385
346	734	1381
347	735	1377
348	736	1373
349	737	1369
350	738	1365
351	739	1361
352	740	1357
353	741	1353
354	743	1350
355	744	1346
356	745	1343
357	747	1340
358	749	1337
359	750	1333
360	751	1330
361	752	1326
362	753	1322
363	755	1319
364	756	1315
365	757	1311
366	758	1307
367	759	1304
368	760	1301
369	762	1298
370	764	1295
371	765	1291
372	766	1288
373	767	1284
374	768	1280
375	769	1277
376	770	1273
377	771	1269
378	772	1265
379	773	1261
380	774	1257
381	775	1253
382	776	1250
383	777	1247
384	778	1244
385	780	1240
386	781	1237
387	782	1233
388	783	1230
389	784	1227
390	785	1223
391	786	1220
392	788	1217
393	789	1213
394	790	1210
395	791	1207
396	793	1204
397	794	1201
398	795	1198
399	796	1195
400	797	1191
401	799	1188
402	800	1185
403	801	1182
404	802	1178
405	803	1175
406	804	1172
407	805	1169
408	807	1166
409	809	1164
410	810	1161
411	811	1157
412	812	1154
413	813	1151
414	814	1148
415	815	1145
416	817	1142
417	818	1139
418	819	1136
419	820	1133
420	822	1130
421	823	1127
422	825	1125
423	826	1122
424	827	1120
425	829	1117
426	830	1113
427	831	1110
428	832	1107
429	833	1104
430	834	1101
431	835	1099
432	837	1096
433	838	1093
434	840	1092
435	842	1089
436	843	1086
437	844	1083
438	845	1080
439	846	1077
440	847	1074
441	848	1071
442	849	1068
443	851	1065
444	852	1063
445	853	1060
446	854	1057
447	856	1054
448	857	1051
449	858	1048
450	859	1046
451	860	1043
452	861	1040
453	862	1037
454	863	1034
